,precision,recall,f1-score,support
anger,0.23746701846965698,0.7627118644067796,0.36217303822937624,118.0
disgust,0.21978021978021978,0.425531914893617,0.2898550724637681,47.0
fear,0.06280193236714976,0.8666666666666667,0.11711711711711711,15.0
happiness,0.43320290665176076,0.7673267326732673,0.5537692032868882,1010.0
neutral,0.9482071713147411,0.6603558021870409,0.7785260727342698,6127.0
sadness,0.1742627345844504,0.6372549019607843,0.2736842105263158,102.0
surprise,0.19626168224299065,0.7304347826086957,0.30939226519337015,115.0
accuracy,0.6760021237058668,0.6760021237058668,0.6760021237058668,0.6760021237058668
macro avg,0.32456909505870996,0.6928975236281216,0.3835024256501579,7534.0
weighted avg,0.839771432737437,0.6760021237058668,0.7235131943996775,7534.0
