,precision,recall,f1-score,support
anger,0.5277777777777778,0.5571847507331378,0.5420827389443652,341.0
disgust,0.45652173913043476,0.3088235294117647,0.3684210526315789,68.0
fear,0.23157894736842105,0.44,0.30344827586206896,50.0
joy,0.5203252032520326,0.6384039900249376,0.5733482642777156,401.0
neutral,0.8022657054582905,0.6252006420545746,0.7027514659449707,1246.0
sadness,0.5157232704402516,0.3961352657004831,0.44808743169398907,207.0
surprise,0.4319148936170213,0.725,0.5413333333333333,280.0
accuracy,0.5989201696876205,0.5989201696876205,0.5989201696876205,0.5989201696876205
macro avg,0.4980153624348899,0.5272497397035568,0.49706750895543167,2593.0
weighted avg,0.6396293908794856,0.5989201696876205,0.6073828274542483,2593.0
