,precision,recall,f1-score,support
anger,0.6096256684491979,0.33043478260869563,0.42857142857142855,345.0
disgust,0.20833333333333334,0.29411764705882354,0.24390243902439024,68.0
fear,0.2608695652173913,0.24,0.25,50.0
joy,0.4835589941972921,0.6218905472636815,0.544069640914037,402.0
neutral,0.6811487481590575,0.7364649681528662,0.7077276205049732,1256.0
sadness,0.34385964912280703,0.47115384615384615,0.3975659229208925,208.0
surprise,0.6198347107438017,0.2669039145907473,0.373134328358209,281.0
accuracy,0.5724137931034483,0.5724137931034483,0.5724137931034483,0.5724137931034483
macro avg,0.45817580988898293,0.4229951008326657,0.4207101971848472,2610.0
weighted avg,0.587410308288946,0.5724137931034483,0.564026380823254,2610.0
