,precision,recall,f1-score,support
anger,0.5652173913043478,0.48985507246376814,0.5248447204968945,345.0
disgust,0.35802469135802467,0.4264705882352941,0.38926174496644295,68.0
embarrassment,0.0,0.0,0.0,0.0
fear,0.19626168224299065,0.42,0.267515923566879,50.0
frustration,0.0,0.0,0.0,0.0
joy,0.4698996655518395,0.6990049751243781,0.562,402.0
neutral,0.8171603677221655,0.6369426751592356,0.7158836689038032,1256.0
relief,0.0,0.0,0.0,0.0
sadness,0.46919431279620855,0.47596153846153844,0.47255369928400953,208.0
sarcasm,0.0,0.0,0.0,0.0
surprise,0.5368098159509203,0.6227758007117438,0.5766062602965404,281.0
accuracy,0.6030651340996168,0.6030651340996168,0.6030651340996168,0.6030651340996168
macro avg,0.31023344790240875,0.342819150014178,0.3189696379558699,2610.0
weighted avg,0.6486006995705725,0.6030651340996168,0.6154438467988772,2610.0
